head_label,prompt_count,delta_mean,delta_variance,decrease_ratio,top1_changed_ratio,dropped_from_top5_ratio,dropped_from_top20_ratio
L15.H7,20,-0.247076416015625,0.015264354981482025,1.0,0.25,0.0,0.0
L20.H11,20,-0.037322998046875,0.0020013956353068353,0.85,0.0,0.0,0.0
L17.H6,20,-0.033367919921875,0.0007844332978129388,0.95,0.05,0.0,0.0
L13.H1,20,-0.01685791015625,0.0005334062874317169,0.8,0.0,0.0,0.0
L22.H2,20,-0.0152587890625,0.000219745934009552,0.9,0.0,0.0,0.0
L23.H13,20,-0.014056396484375,0.00022638630121946338,0.8,0.0,0.0,0.0
