head_label,prompt_count,delta_mean,delta_variance,decrease_ratio,top1_changed_ratio,dropped_from_top5_ratio,dropped_from_top20_ratio
L15.H7,16,-0.12871932983398438,0.009109432561672293,0.9375,0.375,0.0625,0.0
L17.H6,16,-0.04322052001953125,0.001599701528903097,0.875,0.0625,0.0,0.0
L15.H3,16,-0.03914642333984375,0.001834466529544443,0.875,0.0,0.0,0.0
L13.H1,16,-0.021984100341796875,0.000976896015345119,0.8125,0.0625,0.0,0.0
L22.H2,16,-0.0160369873046875,0.00020744814537465572,1.0,0.0,0.0,0.0
L15.H11,16,-0.0135498046875,0.0010387543588876724,0.8125,0.0,0.0,0.0
L23.H13,16,-0.01251220703125,0.0002862662076950073,0.8125,0.0,0.0,0.0
L13.H13,16,-0.01107025146484375,0.0005161589360795915,0.8125,0.0,0.0,0.0
