head_label,prompt_count,delta_mean,delta_variance,decrease_ratio,top1_changed_ratio,dropped_from_top5_ratio,dropped_from_top20_ratio
L15.H7,16,-0.22650814056396484,0.011612808767495153,1.0,0.3125,0.0625,0.0
L17.H6,16,-0.0489044189453125,0.001977508654817939,1.0,0.125,0.0,0.0
L18.H9,16,-0.0386810302734375,0.003217505058273673,0.8125,0.0625,0.0,0.0
L15.H3,16,-0.0333709716796875,0.0011877694632858038,0.9375,0.125,0.0,0.0
L20.H11,16,-0.02619171142578125,0.002133181260433048,0.8125,0.0625,0.0,0.0
L22.H2,16,-0.01860809326171875,0.001232711540069431,0.8125,0.0,0.0,0.0
L13.H1,16,-0.0182647705078125,0.0004946177359670401,0.8125,0.0625,0.0,0.0
L23.H9,16,-0.012451171875,0.00018981099128723145,0.8125,0.0,0.0,0.0
L19.H7,16,-0.01061248779296875,0.0007809092639945447,0.8125,0.0625,0.0,0.0
