head_label,prompt_count,delta_mean,delta_variance,decrease_ratio,top1_changed_ratio,dropped_from_top5_ratio,dropped_from_top20_ratio
L15.H7,28,-0.19942692347935267,0.016086110516156698,0.9642857142857143,0.39285714285714285,0.10714285714285714,0.0
L17.H6,28,-0.06698390415736608,0.002042528370167224,0.9642857142857143,0.10714285714285714,0.0,0.0
L22.H2,28,-0.017397199358258928,0.0002861755985614597,0.8928571428571429,0.0,0.0,0.0
L23.H9,28,-0.013665335518973214,0.00011497425694702839,0.9285714285714286,0.0,0.0,0.0
L23.H13,28,-0.011768886021205358,0.00019698085890588712,0.8214285714285714,0.0,0.0,0.0
